session,rb,mb,rpm,map,actual,frames,visits,S,residual,first_ts
session_2026-07-19_11-04-09_3305e35a,8,16,869,0.413,4.67712,1280,61,1.07065596306,0.0491856927812,1.78446990385e+12
session_2026-07-19_11-04-09_3305e35a,8,17,870,0.433,4.77184,137,26,1.07065596306,-0.0760044959602,1.78446990297e+12
session_2026-07-19_11-04-09_3305e35a,8,18,880,0.462,5.16608,27,5,1.07065596306,-0.0243870880845,1.78446990196e+12
session_2026-07-19_11-04-09_3305e35a,8,19,896,0.492,5.4336,2,1,1.07065596306,-0.135397249767,1.78447005692e+12
session_2026-07-19_11-04-09_3305e35a,9,16,901,0.413,4.52864,1,1,1.07065596306,-0.14947392538,1.78446995769e+12
session_2026-07-19_11-04-09_3305e35a,9,18,920,0.462,5.4528,2,1,1.07065596306,0.196861084888,1.78446996152e+12
session_2026-07-23_20-22-36_751ffb48,8,15,866,0.394,4.41344,66,31,1.06855442506,0.00514029116535,1.7848491251e+12
session_2026-07-23_20-22-36_751ffb48,8,16,869,0.403,4.57216,196,65,1.06855442506,0.0614961386518,1.7848490992e+12
session_2026-07-23_20-22-36_751ffb48,8,17,879,0.433,4.82432,26,16,1.06855442506,-0.0315034737169,1.78484909784e+12
session_2026-07-23_20-22-36_751ffb48,8,18,880,0.452,4.992,12,8,1.06855442506,-0.0762500909637,1.78484912266e+12
session_2026-07-23_20-22-36_751ffb48,9,15,901,0.394,4.47232,1,1,1.06855442506,0.0133720012544,1.78485046901e+12
session_2026-07-23_20-22-36_751ffb48,9,16,906,0.403,4.39424,2,1,1.06855442506,-0.169868286865,1.7848504626e+12
session_2026-07-23_20-22-36_751ffb48,9,17,904,0.433,4.83072,1,1,1.06855442506,-0.0648649303334,1.78485085089e+12
session_2026-07-23_20-22-36_751ffb48,16,9,1688,0.237,2.5984,1,1,1.06855442506,-0.107801909541,1.78484905674e+12
session_2026-07-23_20-22-36_751ffb48,17,8,1773,0.217,2.54976,1,1,1.06855442506,-0.032975781643,1.78484905701e+12
session_2026-07-23_20-22-36_751ffb48,17,15,1737,0.384,3.99872,1,1,1.06855442506,0.282605841412,1.78484905479e+12
session_2026-07-23_20-22-36_751ffb48,17,29,1797,0.747,8.1152,1,1,1.06855442506,0.471251457622,1.78484906734e+12
session_2026-07-23_20-22-36_751ffb48,18,13,1870,0.335,3.5904,8,4,1.06855442506,0.269815617627,1.78485189001e+12
session_2026-07-23_20-22-36_751ffb48,18,29,1809,0.737,7.47008,1,1,1.06855442506,0.0379496449656,1.78484906762e+12
session_2026-07-23_20-22-36_751ffb48,19,13,1908,0.335,3.47904,5,3,1.06855442506,0.167860837414,1.784851889e+12
session_2026-07-23_20-22-36_751ffb48,24,25,2491,0.639,5.86496,1,1,1.06855442506,0.0732336538828,1.78484907912e+12
session_2026-07-23_20-22-36_751ffb48,25,21,2528,0.541,4.79232,3,1,1.06855442506,-0.0269658234858,1.78484908746e+12
session_2026-07-23_20-22-36_751ffb48,25,22,2526,0.55,4.7616,1,1,1.06855442506,-0.135187077656,1.78484908802e+12
session_2026-07-23_20-22-36_751ffb48,25,25,2587,0.639,6.3616,1,1,1.06855442506,0.466313109972,1.78484908554e+12
session_2026-08-09_19-44-38_2e14d32b,8,11,877,0.286,2.98496,8,2,1.0249290281,-0.150692456754,1.78631818318e+12
session_2026-08-09_19-44-38_2e14d32b,8,12,880,0.305,3.38944,1,1,1.0249290281,0.0612451991536,1.78631818264e+12
session_2026-08-09_19-44-38_2e14d32b,8,13,848,0.345,3.71712,9,3,1.0249290281,0.0186328603678,1.78631702934e+12
session_2026-08-09_19-44-38_2e14d32b,8,14,869,0.374,3.968,50,8,1.0249290281,-0.0585096541417,1.7863170281e+12
session_2026-08-09_19-44-38_2e14d32b,8,15,867,0.394,4.15744,47,14,1.0249290281,-0.0725587572156,1.78631685839e+12
session_2026-08-09_19-44-38_2e14d32b,8,16,868,0.413,4.42112,424,37,1.0249290281,-0.0073524771327,1.78631681889e+12
session_2026-08-09_19-44-38_2e14d32b,8,17,871,0.433,4.66816,76,19,1.0249290281,0.0254161115798,1.78631681752e+12
session_2026-08-09_19-44-38_2e14d32b,8,18,880,0.462,4.9088,26,11,1.0249290281,-0.0599860260714,1.78631681629e+12
session_2026-08-09_19-44-38_2e14d32b,8,19,881,0.492,5.3376,11,5,1.0249290281,0.0375689741285,1.78631688797e+12
session_2026-08-09_19-44-38_2e14d32b,8,20,880,0.511,5.42592,14,4,1.0249290281,-0.0868751697862,1.78631688768e+12
session_2026-08-09_19-44-38_2e14d32b,8,22,896,0.57,6.3616,1,1,1.0249290281,0.0857734266538,1.78631693518e+12
session_2026-08-09_19-44-38_2e14d32b,8,23,884,0.6,6.28736,2,1,1.0249290281,-0.357757639508,1.78631693419e+12
session_2026-08-09_19-44-38_2e14d32b,9,18,905,0.462,4.73856,1,1,1.0249290281,-0.273366774156,1.78631689694e+12
session_2026-08-09_19-44-38_2e14d32b,11,13,1166,0.335,3.63776,1,1,1.0249290281,0.0256160329654,1.78631695208e+12
session_2026-08-09_19-44-38_2e14d32b,11,14,1153,0.354,3.7888,2,1,1.0249290281,-0.0236318407971,1.78631695236e+12
session_2026-08-09_19-44-38_2e14d32b,12,27,1256,0.688,8.53504,1,1,1.0249290281,0.703895527442,1.78631689185e+12
session_2026-08-09_19-44-38_2e14d32b,15,29,1569,0.727,6.1312,1,1,1.0249290281,-1.39747936958,1.78631697147e+12
session_2026-08-09_19-44-38_2e14d32b,15,32,1565,0.815,8.89088,3,1,1.0249290281,-0.625674626827,1.78631700758e+12
session_2026-08-09_19-44-38_2e14d32b,18,28,1854,0.707,6.35392,1,1,1.0249290281,-0.205470635089,1.7863169584e+12
session_2026-08-09_19-44-38_2e14d32b,19,27,1951,0.678,5.81376,1,1,1.0249290281,-0.211569312132,1.78631817624e+12
session_2026-08-09_19-44-38_2e14d32b,27,18,2794,0.472,3.93472,1,1,1.0249290281,-0.39866195276,1.78631807323e+12
session_2026-08-09_19-44-38_2e14d32b,27,19,2774,0.482,4.14976,5,1,1.0249290281,-0.237066618494,1.78631807186e+12
session_2026-08-09_19-44-38_2e14d32b,27,29,2789,0.737,7.87712,1,1,1.0249290281,0.33963792734,1.78631811914e+12
session_2026-08-09_19-44-38_2e14d32b,28,30,2863,0.766,8.78592,1,1,1.0249290281,0.403024183145,1.78631806898e+12
session_2026-08-09_19-44-38_2e14d32b,28,31,2854,0.776,8.61952,1,1,1.0249290281,0.0329713140667,1.78631811832e+12
session_2026-08-09_19-44-38_2e14d32b,31,28,3163,0.717,9.64096,1,1,1.0249290281,1.12229400342,1.78631806209e+12
session_2026-08-09_19-44-38_2e14d32b,34,16,3404,0.413,4.35456,1,1,1.0249290281,-0.600895401278,1.7863181242e+12
session_2026-08-09_19-44-38_2e14d32b,34,19,3466,0.492,5.7344,1,1,1.0249290281,-0.320337997284,1.78631813048e+12
session_2026-08-09_19-44-38_2e14d32b,35,19,3509,0.482,5.64608,2,1,1.0249290281,-0.447884480181,1.7863181311e+12
session_2026-08-09_20-33-16_2e14d32b,8,15,876,0.394,4.18816,1,1,1.03497009485,-0.0977115267948,1.78631866085e+12
session_2026-08-09_20-33-16_2e14d32b,8,16,875,0.423,4.55936,3,2,1.03497009485,-0.0304783780747,1.78631865944e+12
session_2026-08-09_20-33-16_2e14d32b,8,17,869,0.433,4.6272,2,1,1.03497009485,-0.0570742377582,1.78631866001e+12
session_2026-08-09_20-33-16_2e14d32b,9,18,971,0.462,4.77696,1,1,1.03497009485,-0.339173257705,1.7863186586e+12
session_2026-08-09_20-33-16_2e14d32b,20,36,2047,0.903,10.29632,1,1,1.03497009485,-0.686462779593,1.78631868964e+12
session_2026-08-09_20-33-16_2e14d32b,22,27,2222,0.698,6.31552,1,1,1.03497009485,0.0780212840211,1.78631864773e+12
session_2026-08-09_20-33-16_2e14d32b,23,34,2374,0.874,9.9584,4,3,1.03497009485,-0.142916397057,1.78631867377e+12
session_2026-08-09_20-33-16_2e14d32b,23,35,2384,0.884,9.7536,1,1,1.03497009485,-0.680745709476,1.78631871713e+12
session_2026-08-09_20-33-16_2e14d32b,24,30,2485,0.756,6.36672,1,1,1.03497009485,-0.994450601518,1.78631867639e+12
session_2026-08-09_20-33-16_2e14d32b,24,32,2417,0.825,10.0864,1,1,1.03497009485,1.30213858932,1.78631871083e+12
session_2026-08-09_20-33-16_2e14d32b,24,34,2463,0.864,10.36928,2,1,1.03497009485,0.428925166313,1.78631871825e+12
session_2026-08-09_20-33-16_2e14d32b,25,32,2591,0.825,10.2144,1,1,1.03497009485,1.10200944618,1.78631871998e+12
session_2026-08-09_20-33-16_2e14d32b,25,34,2531,0.864,9.97376,3,1,1.03497009485,-0.114301767385,1.78631871883e+12
session_2026-08-09_20-33-16_2e14d32b,27,31,2720,0.786,9.14176,1,1,1.03497009485,0.664368993651,1.78631867804e+12
session_2026-08-09_20-33-16_2e14d32b,28,31,2856,0.796,9.16992,1,1,1.03497009485,-0.0155454578708,1.78631870293e+12
session_2026-08-09_20-33-16_2e14d32b,28,32,2828,0.815,9.3568,1,1,1.03497009485,-0.239772188034,1.78631870264e+12
session_2026-08-09_20-33-16_2e14d32b,29,24,2960,0.619,6.58944,1,1,1.03497009485,0.447671923204,1.7863186509e+12
session_2026-08-09_20-33-16_2e14d32b,30,32,3004,0.825,10.23744,1,1,1.03497009485,-0.513180767821,1.78631870374e+12
session_2026-08-09_20-33-16_2e14d32b,31,29,3153,0.747,9.344,1,1,1.03497009485,0.0582632093134,1.78631870464e+12
session_2026-08-09_20-33-16_2e14d32b,31,30,3110,0.756,10.07616,1,1,1.03497009485,0.784168439271,1.7863186982e+12
session_2026-08-09_20-33-16_2e14d32b,33,27,3329,0.698,9.16992,1,1,1.03497009485,0.109493168549,1.78631870128e+12
session_2026-08-09_20-33-16_2e14d32b,33,30,3311,0.756,9.5872,1,1,1.03497009485,-0.945661090995,1.7863187055e+12
session_2026-08-12_11-44-08_5f1af7df,8,11,833,0.286,3.0336,207,16,1.01477866147,-0.0318849844225,1.78654596548e+12
session_2026-08-12_11-44-08_5f1af7df,8,12,835,0.315,3.28448,289,31,1.01477866147,-0.0617246183605,1.78654595813e+12
session_2026-08-12_11-44-08_5f1af7df,8,13,836,0.335,3.53536,826,72,1.01477866147,-0.00873512048244,1.78654594855e+12
session_2026-08-12_11-44-08_5f1af7df,8,14,861,0.374,3.9552,572,92,1.01477866147,-0.0193425274859,1.78654594549e+12
session_2026-08-12_11-44-08_5f1af7df,8,15,868,0.384,4.16,679,85,1.01477866147,0.0725818924416,1.78654594493e+12
session_2026-08-12_11-44-08_5f1af7df,8,16,872,0.413,4.41728,204,38,1.01477866147,0.0256252661398,1.78654592151e+12
session_2026-08-12_11-44-08_5f1af7df,8,17,871,0.433,4.6784,64,10,1.01477866147,0.0816354441285,1.78654590124e+12
session_2026-08-12_11-44-08_5f1af7df,8,18,875,0.452,4.81792,43,6,1.01477866147,0.0144838322529,1.78654590098e+12
session_2026-08-12_11-44-08_5f1af7df,8,19,885,0.482,5.17376,2,2,1.01477866147,0.0277557835969,1.78654891754e+12
session_2026-08-12_11-44-08_5f1af7df,8,20,877,0.521,5.1072,5,3,1.01477866147,-0.457797547309,1.78654589877e+12
session_2026-08-12_11-44-08_5f1af7df,8,21,873,0.531,5.04832,8,2,1.01477866147,-0.621674664292,1.78654589766e+12
session_2026-08-12_11-44-08_5f1af7df,9,14,947,0.354,4.0448,2,1,1.01477866147,0.199750853734,1.78654855511e+12
session_2026-08-12_11-44-08_5f1af7df,9,16,901,0.403,4.73344,1,1,1.01477866147,0.404551037531,1.78654779425e+12
session_2026-08-12_17-30-32_5f1af7df,8,11,876,0.296,3.17824,14,2,1.02333597501,-0.0509421428398,1.78656913218e+12
session_2026-08-12_17-30-32_5f1af7df,8,12,885,0.305,3.16416,8,1,1.02333597501,-0.162863362123,1.78656913056e+12
session_2026-08-12_17-30-32_5f1af7df,8,13,874,0.345,3.6032,12,5,1.02333597501,-0.124241143986,1.78656683998e+12
session_2026-08-12_17-30-32_5f1af7df,8,14,867,0.374,4.01792,214,36,1.02333597501,0.000622763117391,1.78656669082e+12
session_2026-08-12_17-30-32_5f1af7df,8,15,870,0.384,4.18816,803,66,1.02333597501,0.0631855227712,1.78656668659e+12
