removed,phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe
none,ablation,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143
none,ablation,PROVISIONAL,0.338842975207,123,16,0.731707317073,0.16976186663,0.383231997831,57,0.614035087719,0.648678042148,0.803978604278,0.731464268259
none,ablation,WAIT,0.633608815427,230,14,0.530434782609,0.381166159784,0.862992033511,159,0.616352201258,0.465893190352,0.594215756656,0.586478786052
distance,ablation,TRUST,0.030303030303,11,6,0.818181818182,0.119090237489,0.241467464398,5,0.6,0.532756208978,0.960173056915,0.916666666667
distance,ablation,PROVISIONAL,0.31129476584,113,16,0.752212389381,0.158783986681,0.382496737711,49,0.632653061224,0.666935430222,0.82475970523,0.699671126288
distance,ablation,WAIT,0.658402203857,239,14,0.531380753138,0.378459743724,0.865131556047,166,0.620481927711,0.468056619636,0.593949960459,0.605994245524
sources,ablation,TRUST,0.0220385674931,8,6,1,0.0644338675203,0.111842907326,2,1,0.737782751283,0.999940509697,1
sources,ablation,PROVISIONAL,0.297520661157,108,16,0.722222222222,0.163190888691,0.383006363347,52,0.634615384615,0.632696642121,0.800018667952,0.688805465368
sources,ablation,WAIT,0.68044077135,247,14,0.546558704453,0.370705971411,0.853316897051,166,0.614457831325,0.484234203306,0.607799187918,0.610815211665
sign,ablation,TRUST,0.0358126721763,13,7,0.923076923077,0.0858207517418,0.18518534853,5,0.8,0.692850510293,0.991570341688,0.928571428571
sign,ablation,PROVISIONAL,0.380165289256,138,16,0.724637681159,0.166502466441,0.382069912729,66,0.636363636364,0.646014387582,0.793950966626,0.723013054654
sign,ablation,WAIT,0.584022038567,212,10,0.514150943396,0.403827602433,0.883644499252,149,0.610738255034,0.447062536563,0.580855893562,0.481993061683
spread,ablation,TRUST,0.223140495868,81,15,0.703703703704,0.192485400938,0.415285129834,42,0.595238095238,0.598438657638,0.794704620623,0.746031746032
spread,ablation,PROVISIONAL,0.300275482094,109,13,0.651376146789,0.263795235948,0.707220029117,59,0.610169491525,0.558885612531,0.73594708446,0.706342365645
spread,ablation,WAIT,0.476584022039,173,14,0.537572254335,0.377800367994,0.847838914696,119,0.638655462185,0.463168182247,0.610730834692,0.603551273288
maturity,ablation,TRUST,0.0220385674931,8,6,1,0.0644338675203,0.111842907326,2,1,0.737782751283,0.999940509697,1
maturity,ablation,PROVISIONAL,0.322314049587,117,16,0.726495726496,0.169505687219,0.383119328562,55,0.618181818182,0.640913458,0.801030079898,0.686432210031
maturity,ablation,WAIT,0.65564738292,238,14,0.53781512605,0.375448846691,0.867271078583,163,0.61963190184,0.474337035884,0.600379703326,0.606050637959
adversarial_feature_permutation,ablation,TRUST,0.0275482093664,10,6,0.7,0.242226156105,0.623956352448,8,0.75,0.394181681851,0.907305406062,0.611111111111
adversarial_feature_permutation,ablation,PROVISIONAL,0.338842975207,123,15,0.593495934959,0.327613483218,0.758475758259,73,0.630136986301,0.505350761555,0.677298591152,0.650543024227
adversarial_feature_permutation,ablation,WAIT,0.633608815427,230,16,0.613043478261,0.291242355915,0.679054710997,139,0.611510791367,0.549006018594,0.674255900539,0.646500294938
