family,provisional_threshold,trust_threshold,selected,valid_support,phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe
balanced,0.5,0.7,False,True,preholdout,TRUST,0.280991735537,102,15,0.676470588235,0.195292138753,0.413799046592,56,0.589285714286,0.581738220833,0.761347747243,0.692354312354
balanced,0.5,0.7,False,True,preholdout,PROVISIONAL,0.454545454545,165,15,0.672727272727,0.262284356202,0.721558386738,84,0.678571428571,0.598616206946,0.740838549008,0.728211233211
balanced,0.5,0.7,False,True,preholdout,WAIT,0.264462809917,96,10,0.427083333333,0.484455676367,0.897110450018,80,0.5875,0.331513128788,0.526976848842,0.409253731343
balanced,0.6,0.8,False,True,preholdout,TRUST,0.201101928375,73,15,0.72602739726,0.172117288106,0.383571189419,39,0.641025641026,0.616395975792,0.81813863289,0.76
balanced,0.6,0.8,False,True,preholdout,PROVISIONAL,0.424242424242,154,15,0.675324675325,0.242141249103,0.559662247334,74,0.594594594595,0.598642663642,0.745486334833,0.740476190476
balanced,0.6,0.8,False,True,preholdout,WAIT,0.374655647383,136,10,0.470588235294,0.440074613704,0.883023715733,107,0.635514018692,0.38805823632,0.554355325623,0.450969267139
balanced,0.7,0.9,False,True,preholdout,TRUST,0.0798898071625,29,12,0.758620689655,0.150661003864,0.294326401144,12,0.583333333333,0.583520663162,0.884990803813,0.694444444444
balanced,0.7,0.9,False,True,preholdout,PROVISIONAL,0.325068870523,118,16,0.703389830508,0.185545036651,0.397946682753,60,0.666666666667,0.616804628882,0.780136121539,0.730127164502
balanced,0.7,0.9,False,True,preholdout,WAIT,0.595041322314,216,14,0.537037037037,0.386300826021,0.883023715733,148,0.608108108108,0.470417783862,0.602671125936,0.578920293459
consensus,0.5,0.7,False,True,preholdout,TRUST,0.267217630854,97,15,0.701030927835,0.187738022127,0.405272316074,51,0.588235294118,0.605034848812,0.785232407025,0.702525252525
consensus,0.5,0.7,False,True,preholdout,PROVISIONAL,0.407713498623,148,15,0.682432432432,0.242197888105,0.607008140218,71,0.591549295775,0.604461748185,0.75334653433,0.754804084804
consensus,0.5,0.7,False,True,preholdout,WAIT,0.325068870523,118,10,0.440677966102,0.471598188741,0.907781251556,98,0.663265306122,0.353438427852,0.530788028489,0.437316017316
consensus,0.6,0.8,False,True,preholdout,TRUST,0.170798898072,62,14,0.741935483871,0.152697866482,0.376353806326,30,0.633333333333,0.623765891842,0.838116434689,0.744727891156
consensus,0.6,0.8,False,True,preholdout,PROVISIONAL,0.325068870523,118,14,0.728813559322,0.196533449818,0.410408761117,54,0.648148148148,0.643764506085,0.80279501234,0.702721088435
consensus,0.6,0.8,False,True,preholdout,WAIT,0.504132231405,183,14,0.486338797814,0.421017743481,0.909666932519,136,0.610294117647,0.414613321802,0.558492606346,0.566698960808
consensus,0.7,0.9,True,True,preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143
consensus,0.7,0.9,True,True,preholdout,PROVISIONAL,0.338842975207,123,16,0.731707317073,0.16976186663,0.383231997831,57,0.614035087719,0.648678042148,0.803978604278,0.731464268259
consensus,0.7,0.9,True,True,preholdout,WAIT,0.633608815427,230,14,0.530434782609,0.381166159784,0.862992033511,159,0.616352201258,0.465893190352,0.594215756656,0.586478786052
minimum,0.5,0.7,False,True,preholdout,TRUST,0.0523415977961,19,9,0.842105263158,0.153151958654,0.272893392899,8,0.875,0.635756815328,0.953432778587,0.811111111111
minimum,0.5,0.7,False,True,preholdout,PROVISIONAL,0.256198347107,93,16,0.806451612903,0.131402491879,0.304251995083,37,0.702702702703,0.717492024055,0.876687300517,0.769365530303
minimum,0.5,0.7,False,True,preholdout,WAIT,0.691460055096,251,15,0.517928286853,0.376789413937,0.848293154435,175,0.594285714286,0.456203216729,0.579242543022,0.520920054891
minimum,0.6,0.8,False,False,preholdout,TRUST,0.0165289256198,6,5,0.833333333333,0.0748286731972,0.143141044924,2,0.5,0.441943226391,0.981379872881,0.9
minimum,0.6,0.8,False,False,preholdout,PROVISIONAL,0.118457300275,43,14,0.767441860465,0.144387908804,0.370893794913,18,0.666666666667,0.626571149194,0.873691879897,0.753571428571
minimum,0.6,0.8,False,False,preholdout,WAIT,0.865013774105,314,16,0.582802547771,0.328174553311,0.756881220602,200,0.62,0.527709550904,0.63637693053,0.591409703235
minimum,0.7,0.9,False,False,preholdout,TRUST,0,0,0,,,,0,,,,
minimum,0.7,0.9,False,False,preholdout,PROVISIONAL,0.0523415977961,19,9,0.842105263158,0.153151958654,0.272893392899,8,0.875,0.635756815328,0.953432778587,0.811111111111
minimum,0.7,0.9,False,False,preholdout,WAIT,0.947658402204,344,16,0.595930232558,0.310449344892,0.72349356662,212,0.61320754717,0.543449507427,0.646804299936,0.636958180708
