phase,low,high,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe
preholdout,0,0.1,48,9,0.375,0.319941806578,0.62903394487,41,0.609756097561,0.248578731895,0.515995040215,0.404121863799
preholdout,0.1,0.2,1,1,1,0.222901348871,0.222901348871,1,1,0.14674631631,0.999614419019,1
preholdout,0.2,0.3,5,3,0.2,1.03932057632,1.96106250889,5,0.4,0.0225127659992,0.628626400632,0.166666666667
preholdout,0.3,0.4,28,5,0.535714285714,0.487853604369,1.06610514386,21,0.571428571429,0.355137507173,0.709318902001,0.42380952381
preholdout,0.4,0.5,35,7,0.485714285714,0.593909976128,1.10325311973,29,0.827586206897,0.32679697819,0.64688829766,0.495918367347
preholdout,0.5,0.6,65,13,0.569230769231,0.329194781315,0.905204180487,38,0.473684210526,0.448020711348,0.684426697671,0.707692307692
preholdout,0.6,0.7,48,7,0.6875,0.230147811079,0.462203236862,24,0.666666666667,0.548389414192,0.804758214457,0.759821428571
preholdout,0.7,0.8,66,14,0.742424242424,0.181897497089,0.408539486726,29,0.620689655172,0.628143995923,0.835973192487,0.688775510204
preholdout,0.8,0.9,57,14,0.719298245614,0.155710083994,0.349053749261,28,0.607142857143,0.59394562823,0.823017397841,0.7125
preholdout,0.9,1,10,7,0.9,0.115553551146,0.257180428648,4,1,0.618685228933,0.988988326237,0.857142857143
holdout,0,0.1,32,1,0.3125,2.00114142758,4.91430486465,29,0.551724137931,0.173355231506,0.483871924334,0.3125
holdout,0.1,0.2,0,0,,,,0,,,,
holdout,0.2,0.3,6,1,0.166666666667,2.12318268561,3.9922930044,6,0.333333333333,0.0186201271194,0.558056773609,0.166666666667
holdout,0.3,0.4,30,1,0.2,0.984225817225,1.52767890763,25,0.48,0.0880673755199,0.366613133841,0.2
holdout,0.4,0.5,40,1,0.325,0.494438221839,0.764844584556,31,0.58064516129,0.195950964121,0.478360673488,0.325
holdout,0.5,0.6,19,1,0.368421052632,0.519613784102,0.99295884762,16,0.75,0.182404330012,0.591264954415,0.368421052632
holdout,0.6,0.7,43,1,0.651162790698,0.279187460578,0.574139021864,33,0.848484848485,0.502603035642,0.78012878296,0.651162790698
holdout,0.7,0.8,32,1,0.59375,0.494213652381,0.804130868814,25,0.84,0.421603377606,0.749771048442,0.59375
holdout,0.8,0.9,16,1,0.8125,0.143710056572,0.318152338701,5,1,0.579214827764,0.94418701611,0.8125
holdout,0.9,1,2,1,0.5,0.18770764509,0.288078266037,1,0,0.0608302759201,0.93916972408,0.5
