phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe,absolute_error_ms,deadband_ms
preholdout,TRUST,0.0275482093664,10,7,0.7,0.115553551146,0.257180428649,8,0.875,0.394181681851,0.907305406062,0.642857142857,0.2,0.08
preholdout,PROVISIONAL,0.338842975207,123,16,0.650406504065,0.16976186663,0.383231997831,74,0.621621621622,0.563421977655,0.730405917959,0.655160184797,0.2,0.08
preholdout,WAIT,0.633608815427,230,14,0.369565217391,0.381166159784,0.862992033511,170,0.617647058824,0.309128167533,0.433261874684,0.448237606079,0.2,0.08
preholdout,TRUST,0.0275482093664,10,7,0.7,0.115553551146,0.257180428649,6,0.833333333333,0.394181681851,0.907305406062,0.642857142857,0.2,0.1
preholdout,PROVISIONAL,0.338842975207,123,16,0.658536585366,0.16976186663,0.383231997831,65,0.6,0.571820379643,0.737890243217,0.665576851464,0.2,0.1
preholdout,WAIT,0.633608815427,230,14,0.378260869565,0.381166159784,0.862992033511,165,0.618181818182,0.317425545508,0.442138518802,0.459226617068,0.2,0.1
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,4,1,0.49722550356,0.955940586447,0.785714285714,0.2,0.12
preholdout,PROVISIONAL,0.338842975207,123,16,0.666666666667,0.16976186663,0.383231997831,57,0.614035087719,0.580245581934,0.745347793539,0.674505422893,0.2,0.12
preholdout,WAIT,0.633608815427,230,14,0.382608695652,0.381166159784,0.862992033511,159,0.616352201258,0.321582193032,0.446568880214,0.459744215412,0.2,0.12
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,2,1,0.49722550356,0.955940586447,0.785714285714,0.2,0.15
preholdout,PROVISIONAL,0.338842975207,123,16,0.674796747967,0.16976186663,0.383231997831,49,0.632653061224,0.588698059518,0.752778096287,0.682317922893,0.2,0.15
preholdout,WAIT,0.633608815427,230,14,0.395652173913,0.381166159784,0.862992033511,142,0.62676056338,0.33408355839,0.459828534038,0.470220604964,0.2,0.15
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,2,1,0.49722550356,0.955940586447,0.785714285714,0.2,0.2
preholdout,PROVISIONAL,0.338842975207,123,16,0.682926829268,0.16976186663,0.383231997831,32,0.5625,0.597178326408,0.760180640021,0.690130422893,0.2,0.2
preholdout,WAIT,0.633608815427,230,14,0.404347826087,0.381166159784,0.862992033511,130,0.646153846154,0.342443676493,0.468642423002,0.479666774737,0.2,0.2
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,8,0.875,0.49722550356,0.955940586447,0.714285714286,0.25,0.08
preholdout,PROVISIONAL,0.338842975207,123,16,0.674796747967,0.16976186663,0.383231997831,74,0.621621621622,0.588698059518,0.752778096287,0.666136887306,0.25,0.08
preholdout,WAIT,0.633608815427,230,14,0.45652173913,0.381166159784,0.862992033511,170,0.617647058824,0.393027341549,0.521102730685,0.504809872667,0.25,0.08
preholdout,TRUST,0.0275482093664,10,7,0.8,0.115553551146,0.257180428649,6,0.833333333333,0.49722550356,0.955940586447,0.714285714286,0.25,0.1
preholdout,PROVISIONAL,0.338842975207,123,16,0.691056910569,0.16976186663,0.383231997831,65,0.6,0.605686938625,0.767554871539,0.689053553973,0.25,0.1
preholdout,WAIT,0.633608815427,230,14,0.465217391304,0.381166159784,0.862992033511,165,0.618181818182,0.401527071581,0.529776988167,0.515798883656,0.25,0.1
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143,0.25,0.12
preholdout,PROVISIONAL,0.338842975207,123,16,0.715447154472,0.16976186663,0.383231997831,57,0.614035087719,0.631389111141,0.789501461576,0.715839268259,0.25,0.12
preholdout,WAIT,0.633608815427,230,14,0.469565217391,0.381166159784,0.862992033511,159,0.616352201258,0.405784243344,0.534106809648,0.516316482,0.25,0.12
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.25,0.15
preholdout,PROVISIONAL,0.338842975207,123,16,0.747967479675,0.16976186663,0.383231997831,49,0.632653061224,0.666098191454,0.818324759922,0.750762157869,0.25,0.15
preholdout,WAIT,0.633608815427,230,14,0.495652173913,0.381166159784,0.862992033511,142,0.62676056338,0.431429119189,0.559983888705,0.528345666583,0.25,0.15
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,2,1,0.618685228933,0.988988326237,0.857142857143,0.25,0.2
