session,S
session_2026-07-19_11-04-09_3305e35a,1.07065596306
session_2026-07-23_20-22-36_751ffb48,1.06855442506
session_2026-08-09_19-44-38_2e14d32b,1.0249290281
session_2026-08-09_20-33-16_2e14d32b,1.03497009485
session_2026-08-12_11-44-08_5f1af7df,1.01477866147
session_2026-08-12_17-30-32_5f1af7df,1.02333597501
session_2026-08-14_16-45-40_807d2a20,1.01721147445
session_2026-08-14_23-34-20_807d2a20,1.02308385382
session_2026-08-15_00-53-18_807d2a20,1.02369030543
session_2026-08-17_10-05-54_0cab1f14,1.00995164208
session_2026-08-17_12-58-00_0cab1f14,1.02376547192
session_2026-08-17_14-01-20_0cab1f14,1.02849960637
session_2026-08-17_19-22-57_4156d399,1.02099199724
session_2026-08-29_16-30-22_3747b934,1.02201202485
session_2026-09-13_18-14-47_39ae26a4,1.0653519891
session_2026-09-13_19-12-14_39ae26a4,1.065612
